fileName,originalUrl,sizeBytes
"001_670ce5b50124a54e8b71c64f_Boltic.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/670ce5b50124a54e8b71c64f_Boltic.svg",1008
"002_670ce71e6039543847521462_confirmation popup.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/670ce71e6039543847521462_confirmation%20popup.svg",343
"003_670ce71e603954384752146a_error_message_bg.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/670ce71e603954384752146a_error_message_bg.svg",493
"004_670ce71e6039543847521474_Icon.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/670ce71e6039543847521474_Icon.svg",230
"005_670cf74dd54da8d47e6198bf_Frame 1000002797.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/670cf74dd54da8d47e6198bf_Frame%201000002797.svg",2169
"006_670cf74dd54da8d47e6198c3_lines horizontal.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/670cf74dd54da8d47e6198c3_lines%20horizontal.svg",10502
"007_670cf74dd54da8d47e6198d4_pading_label.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/670cf74dd54da8d47e6198d4_pading_label.svg",5595
"008_670cf74dd54da8d47e6198e2_Frame 628321.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/670cf74dd54da8d47e6198e2_Frame%20628321.svg",1016
"009_6719ebe29ea8f16d58714fa9_Partners dev portal og.webp","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/6719ebe29ea8f16d58714fa9_Partners%20dev%20portal%20og.webp",76532
"010_6731dd2e7e2a6d633f3f4e64_arrow-left.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/6731dd2e7e2a6d633f3f4e64_arrow-left.svg",979
"011_67331f839ee7adda51d672f0_error_message_bg.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/67331f839ee7adda51d672f0_error_message_bg.svg",493
"012_67331f839ee7adda51d672f1_Icon.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/67331f839ee7adda51d672f1_Icon.svg",230
"013_67331f839ee7adda51d672f2_confirmation popup.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/67331f839ee7adda51d672f2_confirmation%20popup.svg",343
"014_67331f839ee7adda51d672f3_arrow-left.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/67331f839ee7adda51d672f3_arrow-left.svg",979
"015_6734864b2fddaf5cd2633313_Fynd commerce icon.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/6734864b2fddaf5cd2633313_Fynd%20commerce%20icon.svg",2888
"016_67348def2cb565dc286f098d_Component.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/67348def2cb565dc286f098d_Component.svg",5061
"017_67348def4e7bc1f02eb7666c_Pixelbin.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/67348def4e7bc1f02eb7666c_Pixelbin.svg",2806
"018_67348def84ccadd8bdec777a_Potlee.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/67348def84ccadd8bdec777a_Potlee.svg",806
"019_67348defeafc564cecd6aef7_Copilot.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/67348defeafc564cecd6aef7_Copilot.svg",1417361
"020_68286a8e395d922891d01b6e_652427a2c3047913c756e39de1a2cd74_AI glow.avif","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/68286a8e395d922891d01b6e_652427a2c3047913c756e39de1a2cd74_AI%20glow.avif",1280
"021_68287b4d96e1bc7d6a41a783_28d447789d01919fe1dff2d8c8fb0466_ic_search.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/68287b4d96e1bc7d6a41a783_28d447789d01919fe1dff2d8c8fb0466_ic_search.svg",1277
"022_68287bf4d8c30949b28945af_check-circle-1.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/68287bf4d8c30949b28945af_check-circle-1.svg",659
"023_688b3d73524c27923ad38dca_b7456e5eb407577bc1a6c4f608415e98_grain_hero.avif","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/688b3d73524c27923ad38dca_b7456e5eb407577bc1a6c4f608415e98_grain_hero.avif",524857
"024_688b408817c433d44baf77d9_dbc4ea50f4ba2530b77ed62d291c7d2b_check-circle 1.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/688b408817c433d44baf77d9_dbc4ea50f4ba2530b77ed62d291c7d2b_check-circle%201.svg",659
"025_688b53caf7d78da6508983ee_459937f4f2d1e82469ca957edbf35246_video-bg-2.avif","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/688b53caf7d78da6508983ee_459937f4f2d1e82469ca957edbf35246_video-bg-2.avif",2632
"026_688b53caf7d78da6508983f4_6be764fda9af8f660678871649d34041_pexels-veeterzy-114979 1.png","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/688b53caf7d78da6508983f4_6be764fda9af8f660678871649d34041_pexels-veeterzy-114979%201.png",314149
"027_688c8503d809d7c945d8794e_0a372d1c6fe8d045f208de1ed5312452_cta-right-pattern.avif","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/688c8503d809d7c945d8794e_0a372d1c6fe8d045f208de1ed5312452_cta-right-pattern.avif",13477
"028_688c8503d809d7c945d87950_06f4526ef5b9d5ef3a700dfaec0a6bb2_cta-left-pattern.avif","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/688c8503d809d7c945d87950_06f4526ef5b9d5ef3a700dfaec0a6bb2_cta-left-pattern.avif",13726
"029_688c8503d809d7c945d87952_0906e2a1e2e1ea6d037d54dbf95b1d68_dark-cta-pattern-bg.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/688c8503d809d7c945d87952_0906e2a1e2e1ea6d037d54dbf95b1d68_dark-cta-pattern-bg.svg",12962
"030_68c7b64242335ae91a018f2c_459937f4f2d1e82469ca957edbf35246_video-bg-2.avif","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/68c7b64242335ae91a018f2c_459937f4f2d1e82469ca957edbf35246_video-bg-2.avif",2632
"031_68c7b64242335ae91a018f32_6be764fda9af8f660678871649d34041_pexels-veeterzy-114979 1.png","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/68c7b64242335ae91a018f32_6be764fda9af8f660678871649d34041_pexels-veeterzy-114979%201.png",314149
"032_693a7b4472f9259bd2fb18f4_fynd.png","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/693a7b4472f9259bd2fb18f4_fynd.png",666
"033_693a7b4836076b50497a67bd_webclip.png","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/693a7b4836076b50497a67bd_webclip.png",4918
"034_694256f022495e9bd4a7d92f_Partners_Dark.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/694256f022495e9bd4a7d92f_Partners_Dark.svg",11930
"035_69a52acd3480e784f855ef18_977cf10b948984d3ae7c3027be49a32b_ic_chevron_down.svg","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a52acd3480e784f855ef18_977cf10b948984d3ae7c3027be49a32b_ic_chevron_down.svg",561
"036_69a545001354bb86984795ac_partner-image03.avif","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a545001354bb86984795ac_partner-image03.avif",33359
"037_69a545005eb103bdebc4d7d7_partner-image01.avif","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a545005eb103bdebc4d7d7_partner-image01.avif",19862
"038_69a54500883dbc16a1377d1b_partner-image04.avif","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a54500883dbc16a1377d1b_partner-image04.avif",10084
"039_69a54500f2656bb074f9320a_partner-image02.avif","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a54500f2656bb074f9320a_partner-image02.avif",10642
"040_69a54b8dc32ddbbbd0e0a6d3_Theme Marketplace.avif","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a54b8dc32ddbbbd0e0a6d3_Theme%20Marketplace.avif",8435
"041_69a54b8dea31d88d001f1eec_Extension Marketplace.avif","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a54b8dea31d88d001f1eec_Extension%20Marketplace.avif",57947
"042_69a54c1627ef20e6e3f6895b_Commerce.png","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a54c1627ef20e6e3f6895b_Commerce.png",6091
"043_69a54c166cacbdd277d09dc3_Themes.png","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a54c166cacbdd277d09dc3_Themes.png",4661
"044_69a54c16e52a6ee832861dc1_Extensions.png","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a54c16e52a6ee832861dc1_Extensions.png",5201
"045_69a54c831b12160bb86ffd4a_More Confident purchase.png","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a54c831b12160bb86ffd4a_More%20Confident%20purchase.png",7914
"046_69a54c8327a82770acefdf5a_One time website setup.png","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a54c8327a82770acefdf5a_One%20time%20website%20setup.png",4689
"047_69a54c835e1b9e88b957708f_Embed into any store.png","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a54c835e1b9e88b957708f_Embed%20into%20any%20store.png",4896
"048_69a54c83dcda5dd2fde2e9f7_Open APIs, SDKs, and data.png","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a54c83dcda5dd2fde2e9f7_Open%20APIs%2C%20SDKs%2C%20and%20data.png",7617
"049_69a5531a3cc1fa93817d279c_CTA-Banner.avif","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a5531a3cc1fa93817d279c_CTA-Banner.avif",2146
"050_69a9196dfa2db87da19778c1_Screenshot 2026-03-05 at 11.17.02 AM.png","https://cdn.prod.website-files.com/6655b85bb49339efd7619a7e/69a9196dfa2db87da19778c1_Screenshot%202026-03-05%20at%2011.17.02%E2%80%AFAM.png",230751
"051_6707a3a7d07105fbeafc4fe7_Subtract 4.avif","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6707a3a7d07105fbeafc4fe7_Subtract%204.avif",14031
"052_6707a3a7d07105fbeafc5017_Subtract 5.webp","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6707a3a7d07105fbeafc5017_Subtract%205.webp",17354
"053_6707a3a8d07105fbeafc5121_Subtract 1.webp","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6707a3a8d07105fbeafc5121_Subtract%201.webp",6228
"054_6707a3a8d07105fbeafc5140_Subtract 3.webp","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6707a3a8d07105fbeafc5140_Subtract%203.webp",7782
"055_6707a3a8d07105fbeafc5149_Subtract 4.webp","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6707a3a8d07105fbeafc5149_Subtract%204.webp",18362
"056_6718bd5dbe6c5355687b9199_confirmation popup.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6718bd5dbe6c5355687b9199_confirmation%20popup.svg",343
